Preorder:
(mhkwfpd, 100, NULL, NULL, m, hkwfpd)
(m, 40, 0, hkwfpd, NULL, NULL)
(hkwfpd, 60, NULL, mhkwfpd, hkwf, pd)
(hkwf, 25, NULL, pd, h, kwf)
(h, 10, 100, kwf, NULL, NULL)
(kwf, 15, NULL, p, k, wf)
(k, 7, 1010, wf, NULL, NULL)
(wf, 8, NULL, h, w, f)
(w, 3, 10110, f, NULL, NULL)
(f, 5, 10111, k, NULL, NULL)
(pd, 35, NULL, m, p, d)
(p, 15, 110, d, NULL, NULL)
(d, 20, 111, hkwf, NULL, NULL)

Inorder:
(m, 40, 0, hkwfpd, NULL, NULL)
(mhkwfpd, 100, NULL, NULL, m, hkwfpd)
(hkwfpd, 60, NULL, mhkwfpd, hkwf, pd)
(hkwf, 25, NULL, pd, h, kwf)
(h, 10, 100, kwf, NULL, NULL)
(kwf, 15, NULL, p, k, wf)
(k, 7, 1010, wf, NULL, NULL)
(wf, 8, NULL, h, w, f)
(w, 3, 10110, f, NULL, NULL)
(f, 5, 10111, k, NULL, NULL)
(pd, 35, NULL, m, p, d)
(p, 15, 110, d, NULL, NULL)
(d, 20, 111, hkwf, NULL, NULL)

Postorder:
(m, 40, 0, hkwfpd, NULL, NULL)
(hkwfpd, 60, NULL, mhkwfpd, hkwf, pd)
(hkwf, 25, NULL, pd, h, kwf)
(h, 10, 100, kwf, NULL, NULL)
(kwf, 15, NULL, p, k, wf)
(k, 7, 1010, wf, NULL, NULL)
(wf, 8, NULL, h, w, f)
(w, 3, 10110, f, NULL, NULL)
(f, 5, 10111, k, NULL, NULL)
(pd, 35, NULL, m, p, d)
(p, 15, 110, d, NULL, NULL)
(d, 20, 111, hkwf, NULL, NULL)
(mhkwfpd, 100, NULL, NULL, m, hkwfpd)
