Preorder:
(edcgbfah, 100, NULL, NULL, e, dcgbfah)
(e, 47, 0, dcgbfah, NULL, NULL)
(dcgbfah, 53, NULL, edcgbfah, dc, gbfah)
(dc, 22, NULL, gbfah, d, c)
(d, 10, 100, c, NULL, NULL)
(c, 12, 101, gbfa, NULL, NULL)
(gbfah, 31, NULL, e, gbfa, h)
(gbfa, 15, NULL, h, g, bfa)
(g, 7, 1100, bfa, NULL, NULL)
(bfa, 8, NULL, d, bf, a)
(bf, 4, NULL, a, b, f)
(b, 1, 110100, f, NULL, NULL)
(f, 3, 110101, bf, NULL, NULL)
(a, 4, 11011, g, NULL, NULL)
(h, 16, 111, dc, NULL, NULL)

Inorder:
(e, 47, 0, dcgbfah, NULL, NULL)
(edcgbfah, 100, NULL, NULL, e, dcgbfah)
(dcgbfah, 53, NULL, edcgbfah, dc, gbfah)
(dc, 22, NULL, gbfah, d, c)
(d, 10, 100, c, NULL, NULL)
(c, 12, 101, gbfa, NULL, NULL)
(gbfah, 31, NULL, e, gbfa, h)
(gbfa, 15, NULL, h, g, bfa)
(g, 7, 1100, bfa, NULL, NULL)
(bfa, 8, NULL, d, bf, a)
(bf, 4, NULL, a, b, f)
(b, 1, 110100, f, NULL, NULL)
(f, 3, 110101, bf, NULL, NULL)
(a, 4, 11011, g, NULL, NULL)
(h, 16, 111, dc, NULL, NULL)

Postorder:
(e, 47, 0, dcgbfah, NULL, NULL)
(dcgbfah, 53, NULL, edcgbfah, dc, gbfah)
(dc, 22, NULL, gbfah, d, c)
(d, 10, 100, c, NULL, NULL)
(c, 12, 101, gbfa, NULL, NULL)
(gbfah, 31, NULL, e, gbfa, h)
(gbfa, 15, NULL, h, g, bfa)
(g, 7, 1100, bfa, NULL, NULL)
(bfa, 8, NULL, d, bf, a)
(bf, 4, NULL, a, b, f)
(b, 1, 110100, f, NULL, NULL)
(f, 3, 110101, bf, NULL, NULL)
(a, 4, 11011, g, NULL, NULL)
(h, 16, 111, dc, NULL, NULL)
(edcgbfah, 100, NULL, NULL, e, dcgbfah)
